[0.44024413156509401, 0.8115]
[0.37197118604183199, 0.82150000000000001]
[0.31482366371154785, 0.87250000000000005]
[0.26758004367351534, 0.88500000000000001]
[0.77543489926308395, 0.70899999999999996]
[0.2390332133769989, 0.89149999999999996]
[0.42555952131748198, 0.78449999999999998]
[0.18241261470317841, 0.91849999999999998]
[0.17870035767555237, 0.92100000000000004]
[0.13746518307924271, 0.95499999999999996]
[0.099611133456230169, 0.96999999999999997]
[0.11238825789093972, 0.95150000000000001]
[0.10474576242640614, 0.96299999999999997]
[0.19752452255692332, 0.90400000000000003]
[0.068438197135925291, 0.98199999999999998]
[0.18249641327466815, 0.90800000000000003]
[0.050937483401969075, 0.98450000000000004]
[0.037615511305630206, 0.99050000000000005]
[0.042535920923575762, 0.98350000000000004]
[0.04814176702685654, 0.98299999999999998]
[0.018409110076259821, 0.99850000000000005]
[0.079167228483420338, 0.96499999999999997]
[0.0084176259003579616, 0.99850000000000005]
[0.076892351393122227, 0.96750000000000003]
[0.0077648337343707678, 0.99950000000000006]
[0.005746040609665215, 0.99950000000000006]
[0.050134617186049585, 0.97450000000000003]
[0.0025637103434419258, 1.0]
[0.0027904855430824684, 0.99950000000000006]
[0.0029212523493915795, 1.0]
[0.0044869432690902615, 0.999]
[0.0018793813625816256, 1.0]
[0.0063582941932108948, 0.999]
[0.00077615433349274095, 1.0]
[0.018523104134033928, 0.99350000000000005]
[0.0034906666249762564, 0.99950000000000006]
[0.0015726062469366298, 1.0]
[0.0012365847803230282, 1.0]
[0.030719297424338491, 0.98850000000000005]
[0.0066786199400412439, 0.99850000000000005]
[0.0013788143990095705, 0.99950000000000006]
[0.013673916134446016, 0.99650000000000005]
[0.00021332146242457382, 1.0]
[0.00017532794422731967, 1.0]
[0.000387743562228934, 1.0]
[0.00033090020787676622, 1.0]
[0.0089178372737519565, 0.999]
[0.00065258213570450608, 1.0]
[0.00010433173888304736, 1.0]
[0.00079777627575640506, 1.0]
